ru250m;pop_tot
19250006618000;6
19250006618250;1
19252506617000;16
19252506617250;15
19252506617500;7
19252506618000;2
19252506618250;6
19252506618500;5
19255006616750;10
19255006617000;21
19255006617250;28
19255006617500;20
19255006617750;2
19255006618000;2
19255006618250;3
19255006618500;2
19257506617000;18
19257506617250;14
19257506617500;5
19260006617000;14
19262506617000;4
19262506617250;4
19267506617250;1
19382506806500;2
19385006806500;2
19387506630750;16
19390006630500;11
19390006630750;16
19392506630250;3
19392506630500;10
19392506630750;17
19392506631000;10
19395006630500;1
19395006630750;5
19395006631000;2
19395006808000;1
19395006808250;1
19400006601250;2
19400006603750;23
19400006604000;2
19402506601000;1
19402506601250;25
19402506601500;4
19402506602000;2
19402506602250;4
19402506602500;17
19402506602750;14
19402506603750;5
19402506604000;2
19402506604250;3
19402506604750;11
19402506606500;5
19402506782000;4
19402506782500;3
19405006600500;2
19405006600750;19
19405006601000;58
19405006601250;21
19405006601500;6
19405006601750;17
19405006602000;18
19405006602250;4
19405006602500;13
19405006602750;25
19405006603500;1
19405006603750;12
19405006604000;6
19405006604250;1
19405006604750;23
19405006605000;11
19405006606500;11
19405006606750;1
19405006782000;2
19405006782250;10
19405006782500;2
19407506598250;1
19407506598500;2
19407506598750;5
19407506599750;5
19407506600500;33
19407506600750;39
19407506601000;8
19407506601250;5
19407506601500;17
19407506601750;7
19407506602000;9
19407506602250;1
19407506602750;7
19407506603000;7
19407506603250;15
19407506603500;10
19407506603750;9
19407506604000;4
19407506604250;20
19407506604500;11
19407506604750;39
19407506605000;3
19407506605250;9
19407506605750;12
19407506606000;2
19407506606250;12
19407506606500;30
19407506606750;50
19407506607000;10
19407506781750;4
19407506782000;12
19407506782250;11
19407506782500;10
19407506782750;13
19410006598000;6
19410006599750;1
19410006600000;10
19410006600250;3
19410006600500;42
19410006600750;5
19410006602750;9
19410006603000;5
19410006603250;6
19410006603500;5
19410006604500;8
19410006604750;9
19410006605000;17
19410006605250;15
19410006605500;16
19410006605750;33
19410006606000;10
19410006606250;16
19410006606500;30
19410006606750;11
19410006607000;6
19410006610250;1
19410006771750;3
19410006782000;8
19410006782250;7
19410006782500;2
19410006782750;3
19412506597750;8
19412506598000;5
19412506599750;2
19412506600000;2
19412506600250;2
19412506600500;11
19412506603000;6
19412506603750;16
19412506604000;2
19412506604500;2
19412506604750;22
19412506605000;26
19412506605250;18
19412506605500;18
19412506605750;11
19412506606000;21
19412506606250;21
19412506606500;18
19412506607000;3
19412506609500;52
19412506609750;77
19412506610000;25
19412506610250;54
19412506610500;48
19412506771750;5
19412506782000;42
19412506782250;23
19412506782500;1
19412506782750;9
19412506783000;1
19415006597500;1
19415006597750;23
19415006598000;10
19415006598250;14
19415006599750;8
19415006600250;12
19415006603500;3
19415006603750;3
19415006604500;5
19415006605000;22
19415006605250;15
19415006605500;10
19415006605750;31
19415006606000;25
19415006606250;31
19415006606500;36
19415006606750;33
19415006607000;43
19415006607250;13
19415006607500;5
19415006607750;13
19415006608000;19
19415006609250;66
19415006609500;136
19415006609750;156
19415006610000;185
19415006610250;120
19415006610500;49
19415006623250;2
19415006623750;1
19415006771500;4
19415006771750;2
19415006781250;3
19415006782000;39
19415006782250;36
19415006782500;3
19415006782750;13
19417506597750;18
19417506598000;23
19417506598250;21
19417506599750;5
19417506600000;8
19417506600250;4
19417506605000;3
19417506605250;18
19417506605500;14
19417506605750;34
19417506606250;45
19417506606500;26
19417506606750;18
19417506607000;9
19417506607250;9
19417506607500;11
19417506607750;19
19417506608000;23
19417506608250;15
19417506609250;39
19417506609500;70
19417506609750;44
19417506610000;165
19417506610250;140
19417506610500;123
19417506610750;83
19417506611000;8
19417506623000;3
19417506623250;8
19417506623500;2
19417506779000;4
19417506779250;10
19417506781000;4
19417506781250;11
19417506781750;16
19417506782000;18
19417506782250;12
19417506782500;7
19420006597750;3
19420006598000;77
19420006598250;9
19420006598500;7
19420006599750;2
19420006606000;32
19420006606250;62
19420006606750;1
19420006607250;16
19420006607500;16
19420006607750;12
19420006608000;12
19420006608250;66
19420006608500;62
19420006608750;22
19420006609000;43
19420006609250;92
19420006609500;121
19420006609750;35
19420006610000;92
19420006610250;153
19420006610500;110
19420006610750;170
19420006611000;9
19420006612000;1
19420006612250;5
19420006623250;2
19420006623500;16
19420006779000;2
19420006779250;13
19420006779500;10
19420006781000;8
19420006781250;3
19420006781750;9
19420006782000;3
19420006782250;4
19422506597750;2
19422506598000;81
19422506598250;13
19422506607000;1
19422506607250;15
19422506607500;11
19422506607750;17
19422506608000;20
19422506608250;50
19422506608500;48
19422506608750;116
19422506609000;171
19422506609250;139
19422506609500;99
19422506609750;35
19422506610000;141
19422506610250;91
19422506610500;54
19422506610750;47
19422506611000;72
19422506611250;39
19422506611500;65
19422506611750;33
19422506612000;69
19422506612250;64
19422506612500;13
19422506624000;2
19422506624750;5
19422506779250;5
19422506779500;10
19422506781000;6
19422506781250;5
19422506781500;15
19422506781750;72
19422506782000;20
19422506782250;3
19425006597750;2
19425006598000;10
19425006598250;4
19425006598500;3
19425006599000;5
19425006599250;4
19425006607250;2
19425006607500;3
19425006607750;1
19425006608250;6
19425006608500;58
19425006608750;184
19425006609000;121
19425006609250;208
19425006609500;140
19425006609750;68
19425006610000;95
19425006610250;34
19425006610500;21
19425006610750;4
19425006611000;53
19425006611250;103
19425006611500;119
19425006611750;74
19425006612000;12
19425006612250;1
19425006612500;2
19425006760250;2
19425006781500;4
19425006781750;11
19425006782000;17
19427506596750;4
19427506597000;1
19427506597250;6
19427506597500;23
19427506597750;16
19427506598000;14
19427506598250;13
19427506598750;7
19427506599250;3
19427506607250;1
19427506607750;2
19427506608000;7
19427506608250;5
19427506608500;22
19427506608750;8
19427506609000;68
19427506609250;129
19427506609500;107
19427506609750;125
19427506610000;40
19427506610250;89
19427506610500;214
19427506610750;45
19427506611000;63
19427506611250;91
19427506611500;97
19427506611750;152
19427506614000;3
19427506614250;19
19427506757750;1
19427506761000;3
19427506761500;11
19427506761750;1
19427506807250;2
19427506807500;3
19427506807750;2
19427506811000;1
19427506811250;2
19430006596500;4
19430006597000;9
19430006597250;26
19430006597500;89
19430006597750;10
19430006598000;32
19430006598250;16
19430006598500;2
19430006607750;5
19430006609000;1
19430006609250;6
19430006609500;109
19430006609750;181
19430006610000;104
19430006610250;16
19430006610500;196
19430006610750;21
19430006611000;51
19430006611250;51
19430006611500;20
19430006611750;32
19430006614000;34
19430006614250;105
19430006614500;20
19430006757750;3
19430006760000;2
19430006761500;13
19430006761750;12
19430006762000;4
19430006764250;2
19430006765250;2
19430006765750;2
19430006766250;2
19430006767750;4
19430006768250;4
19430006807500;3
19430006810750;3
19430006811000;6
19430006811500;8
19430006811750;11
19430006812000;4
19432506596500;3
19432506596750;31
19432506597000;52
19432506597250;73
19432506597500;134
19432506597750;93
19432506598000;50
19432506598250;8
19432506609500;3
19432506609750;20
19432506610000;7
19432506610250;4
19432506610500;125
19432506610750;5
19432506611000;42
19432506611250;48
19432506611500;11
19432506611750;26
19432506612000;20
19432506612250;4
19432506614000;6
19432506614250;57
19432506614500;19
19432506757750;8
19432506758000;9
19432506760000;6
19432506760250;1
19432506761500;14
19432506761750;8
19432506764250;22
19432506764500;18
19432506765500;21
19432506765750;3
19432506766000;6
19432506766250;2
19432506767750;10
19432506768000;2
19432506768250;16
19432506768500;18
19432506808250;2
19432506811500;6
19432506811750;6
19435006596750;54
19435006597000;127
19435006597250;117
19435006597500;132
19435006597750;80
19435006598000;1
19435006610500;3
19435006610750;2
19435006611250;7
19435006611500;19
19435006611750;7
19435006612000;2
19435006613000;4
19435006613250;12
19435006613500;52
19435006613750;1
19435006614000;7
19435006614250;2
19435006616750;4
19435006618250;2
19435006757250;2
19435006757500;2
19435006757750;3
19435006760000;1
19435006760250;5
19435006761500;5
19435006761750;10
19435006763750;13
19435006764000;15
19435006764250;27
19435006764500;14
19435006764750;3
19435006765750;5
19435006766000;5
19435006766250;1
19435006767250;4
19435006767500;16
19435006767750;8
19435006768000;5
19435006768250;38
19435006768500;30
19437506597000;77
19437506597250;138
19437506597500;118
19437506597750;36
19437506609250;6
19437506609500;5
19437506611500;43
19437506612250;3
19437506612750;25
19437506613000;19
19437506613250;69
19437506613500;139
19437506613750;60
19437506614000;64
19437506614250;23
19437506616750;52
19437506617000;67
19437506617250;57
19437506617500;3
19437506617750;4
19437506618000;25
19437506619000;4
19437506757500;15
19437506759750;5
19437506760000;7
19437506760250;4
19437506763750;4
19437506764500;14
19437506766000;36
19437506766250;6
19437506767500;1
19437506767750;5
19437506768000;23
19437506768250;15
19437506768500;8
19437506839750;2
19440006597000;31
19440006597250;141
19440006597500;100
19440006597750;99
19440006598000;92
19440006611500;19
19440006612500;1
19440006612750;23
19440006613000;42
19440006613250;41
19440006613500;98
19440006613750;86
19440006614000;128
19440006614250;80
19440006614500;1
19440006616500;6
19440006616750;39
19440006617750;5
19440006618000;2
19440006756500;13
19440006757250;2
19440006757500;4
19440006757750;6
19440006759500;5
19440006759750;8
19440006760000;4
19440006763750;1
19440006764750;15
19440006765000;1
19440006765250;7
19440006768000;6
19440006768250;2
19442506597000;38
19442506597250;140
19442506597500;52
19442506597750;38
19442506611250;6
19442506611500;23
19442506611750;1
19442506612500;3
19442506612750;5
19442506613000;58
19442506613250;52
19442506613500;87
19442506613750;85
19442506614000;55
19442506614250;13
19442506616500;8
19442506616750;31
19442506757250;2
19442506757500;5
19442506757750;5
19442506759500;4
19442506759750;89
19442506760250;5
19442506762750;2
19442506763000;10
19442506764000;3
19442506768000;7
19442506768250;4
19442506807500;2
19445006596750;16
19445006597000;79
19445006597250;140
19445006597500;59
19445006597750;94
19445006598000;33
19445006611000;3
19445006611500;21
19445006611750;3
19445006612500;6
19445006612750;24
19445006613000;58
19445006613250;100
19445006613500;126
19445006613750;103
19445006614000;64
19445006614750;18
19445006616500;11
19445006616750;17
19445006759500;2
19445006759750;19
19445006760000;9
19445006760500;5
19445006760750;6
19445006763000;8
19445006763750;13
19445006764000;3
19445006768750;1
19445006808000;2
19447506596500;7
19447506596750;28
19447506597000;34
19447506597250;106
19447506597500;83
19447506597750;61
19447506598000;14
19447506598250;6
19447506598500;1
19447506598750;8
19447506599000;3
19447506599500;1
19447506611500;2
19447506611750;10
19447506612000;15
19447506612250;29
19447506612500;50
19447506612750;45
19447506613000;54
19447506613250;76
19447506613500;81
19447506613750;13
19447506614500;27
19447506614750;21
19447506616750;5
19447506620000;4
19447506646500;2
19447506646750;21
19447506647000;12
19447506759500;13
19447506759750;9
19447506760000;38
19447506760250;15
19447506760500;26
19447506760750;2
19447506761000;2
19447506763750;3
19447506764000;1
19447506766500;9
19447506806000;2
19447506807750;5
19447506808000;2
19450006597500;13
19450006597750;16
19450006598000;16
19450006598250;11
19450006599000;2
19450006599750;3
19450006600750;3
19450006601250;2
19450006611500;2
19450006612000;7
19450006612250;78
19450006612500;136
19450006612750;43
19450006613000;54
19450006613250;4
19450006614000;8
19450006614250;14
19450006614500;2
19450006614750;4
19450006615000;9
19450006615500;2
19450006619750;4
19450006620250;9
19450006620500;5
19450006646750;14
19450006647000;3
19450006760250;8
19450006760750;11
19450006761000;12
19450006761250;35
19450006761500;2
19450006763500;2
19450006763750;1
19450006766500;2
19450006766750;6
19450006815500;23
19450006838500;8
19450006838750;21
19450006839250;7
19452506597250;5
19452506597500;8
19452506597750;7
19452506598250;1
19452506598500;3
19452506598750;4
19452506599000;12
19452506612250;51
19452506612500;125
19452506612750;6
19452506613000;5
19452506613500;6
19452506613750;21
19452506614000;18
19452506614750;2
19452506617000;1
19452506617250;5
19452506620000;57
19452506620250;24
19452506620500;2
19452506621000;4
19452506646750;3
19452506647000;28
19452506728250;1
19452506752750;5
19452506753000;17
19452506753250;18
19452506756000;5
19452506756250;20
19452506757000;3
19452506757500;11
19452506757750;4
19452506760000;6
19452506760250;2
19452506760500;8
19452506760750;42
19452506761000;23
19452506761250;4
19452506762750;1
19452506763250;4
19452506763500;17
19452506763750;3
19452506815250;5
19452506815500;1
19452506816000;3
19452506838250;6
19452506838500;13
19452506838750;8
19452506839000;6
19452506839250;12
19452506839500;15
19455006597000;2
19455006597250;11
19455006597500;6
19455006598500;1
19455006599250;1
19455006599500;7
19455006599750;5
19455006613250;32
19455006613500;20
19455006616500;3
19455006619750;6
19455006620000;40
19455006620250;25
19455006620750;3
19455006621000;2
19455006623750;4
19455006647000;9
19455006647250;7
19455006658250;1
19455006752500;15
19455006752750;16
19455006753000;22
19455006753250;10
19455006753500;64
19455006753750;14
19455006754000;2
19455006754250;5
19455006756000;6
19455006756250;7
19455006756500;54
19455006756750;68
19455006757000;43
19455006757250;4
19455006757500;18
19455006757750;9
19455006759750;2
19455006760000;9
19455006760250;2
19455006761000;5
19455006806500;5
19455006806750;11
19455006815250;5
19455006815500;14
19455006838000;9
19455006838250;41
19455006838500;1
19455006838750;7
19455006839000;22
19455006839500;4
19457506596250;8
19457506596500;2
19457506597000;3
19457506610750;46
19457506611000;118
19457506611250;58
19457506612500;2
19457506613000;14
